Tanggal,Jumlah sampah,Prediksi Jumlah Sampah
2021-01-01,27726357.0,
2021-02-01,25972150.0,
2021-03-01,27274067.0,
2021-04-01,25987925.0,
2021-05-01,26324717.0,
2021-06-01,26027415.0,
2021-07-01,23661096.0,
2021-08-01,25653848.0,
2021-09-01,25318725.0,
2021-10-01,27064203.0,
2021-11-01,28685195.0,
2021-12-01,29487597.0,
2022-01-01,27360585.0,
2022-02-01,24576330.0,
2022-03-01,28341823.0,
2022-04-01,28538712.0,
2022-05-01,26664953.0,
2022-06-01,26595782.0,
2022-07-01,27482173.0,
2022-08-01,26489647.0,
2022-09-01,24513472.0,
2022-10-01,24234613.0,
2022-11-01,23656746.0,
2022-12-01,25378824.0,24903814.698369537
2023-01-01,,26429389.096099697
2023-02-01,,26903368.953852396
2023-03-01,,27672736.24198825
2023-04-01,,26956700.390366793
2023-05-01,,26518168.39388165
2023-06-01,,25399083.979321223
2023-07-01,,25320235.269425917
2023-08-01,,25771238.90312471
2023-09-01,,26124036.10310534
2023-10-01,,27048745.81368087
2023-11-01,,27154168.568308547
2023-12-01,,27038491.56095601
